xx,yy,time
538,386.214,1
100.591,387.136,1
226.643,387.429,1
235.9,386.9,1
358.577,387.038,1
400.1,386.9,1
434.071,387.5,1
444.429,387.071,1
455,387.214,1
374.192,388.577,1
34.033,389.633,1
110.633,388.967,1
136.967,389.367,1
383.731,388.577,1
522.033,389.633,1
547.778,389.667,1
163.147,390.029,1
196.682,389.773,1
393.1,390.1,1
626.682,390.318,1
634.375,389.375,1
409.269,390.731,1
17.5,392.125,1
79.375,391.375,1
209.269,391.962,1
218.045,392.136,1
462.967,392.633,1
506,392,1
531.233,392.7,1
127.808,392.5,1
154,393,1
268.714,393.714,1
278.167,393.367,1
287.917,393.25,1
366.269,393.115,1
418.367,392.967,1
472.346,392.962,1
492.192,393.423,1
47.147,394.029,1
93.633,394.033,1
240.731,394.654,1
250.233,394.5,1
379,393.5,1
427.885,394.115,1
481.75,394,1
6.033,395.633,1
26.324,395.559,1
145.1,396.667,1
231.5,394.929,1
259.227,394.682,1
297.333,394.583,1
349,395,1
388.5,394.5,1
401.286,394.857,1
224.2,396.2,1
514.9,395.9,1
539.786,396,1
358.029,397.147,1
443.367,396.967,1
634.167,396.389,1
70,397.786,1
192.7,398.3,1
202,397.786,1
373.786,398,1
383.167,398.167,1
565.5,397.786,1
162.033,399.633,1
393.115,399.115,1
467.5,398.929,1
499.5,398.875,1
524,398.786,1
208.5,399.5,1
409.885,400.115,1
548.682,399.773,1
15,401,1
41,401.214,1
59.5,400.5,1
217.944,400.944,1
273.767,401.5,1
283.45,401.6,1
352.375,400.875,1
434.967,401.367,1
474.875,401.75,1
245.794,402.735,1
255.25,402.125,1
264.367,402.033,1
490.833,402.233,1
532.633,402.033,1
153.367,402.967,1
228.045,402.864,1
236.5,403,1
293,403,1
366.115,402.885,1
378.611,403.167,1
508,403,1
23.5,404.125,1
50.214,404,1
197.3,402.9,1
401.633,404.033,1
557.1,403.9,1
6.143,405.571,1
33.1,405.433,1
517.367,404.967,1
75.917,406.25,1
348.115,405.885,1
357.767,406.567,1
417.5,406,1
426.9,405.9,1
466.5,406.071,1
66.5,406.667,1
201.5,407.289,1
338.071,407.5,1
442.864,406.955,1
482.75,407.083,1
565.917,407.333,1
181.312,408.188,1
191.9,407.9,1
211.633,408.033,1
383.864,407.591,1
498.786,407.5,1
525.731,408.269,1
375,409,1
408.875,409.75,1
510,408.75,1
550.071,409.5,1
15.643,410.143,1
57.25,410.125,1
